Actual_Churn,Predicted_Churn
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,True
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
